Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Switzerland,per million inhabitant,4780,17337,19321,20295,26822,19549,22091,23824,31690,21931,25268,27793,38072,24015,27385,30732,41284,25911,29079,33230,43463
Syrian Arab Republic,per million inhabitant,13,667,735,769,994,743,831,891,1162,825,940,1027,1382,897,1013,1129,1493,963,1072,1215,1568
Tajikistan,per million inhabitant,0,243,274,289,389,277,316,343,463,314,365,404,561,346,397,449,610,375,423,487,644
Thailand,per million inhabitant,211,32419,37157,39481,55069,37700,43770,47910,66694,43390,51357,57387,81935,48366,56414,64405,89603,52894,60457,70371,94808
Timor-Leste,per million inhabitant,6,303,353,378,543,359,423,467,666,419,504,567,828,472,557,642,909,520,600,705,964
Togo,per million inhabitant,226,402,452,476,640,457,521,565,762,517,601,664,922,569,654,738,1002,617,696,800,1057
Trinidad and Tobago,per million inhabitant,2205,1227,1426,1486,2634,1405,1617,1742,2705,1580,1814,2004,2890,1731,1991,2236,3182,1865,2123,2422,3343
Tunisia,per million inhabitant,202,9740,11238,11694,20334,11081,12676,13620,20864,12400,14161,15591,22258,13537,15493,17337,24459,14548,16486,18739,25671
Turkey,per million inhabitant,1861,119421,133228,137433,217088,131784,146488,155187,221979,143943,160179,173363,234826,154427,172459,189463,255123,163744,181613,202384,266297
Turks and Caicos Islands,,123,44,52,54,96,51,59,63,99,57,66,73,106,63,72,81,116,68,77,88,122
Uganda,per million inhabitant,214,2007,2423,2550,4953,2380,2823,3086,5101,2747,3236,3634,5488,3063,3607,4120,6101,3344,3883,4510,6438
Ukraine,per million inhabitant,589,47589,53800,55692,91521,53150,59764,63677,93721,58620,65923,71854,99500,63336,71447,79095,108630,67526,75564,84908,113657
United Kingdom,per million inhabitant,7569,161345,182878,189437,313665,180626,203558,217125,321293,199590,224911,245473,341328,215941,244063,270581,372983,230470,258338,290734,390411
United Arab Emirates,per million inhabitant,1671,9542,10584,10901,16913,10475,11584,12241,17282,11392,12618,13613,18251,12184,13544,14828,19783,12887,14235,15803,20627
United States of America,per million inhabitant,5816,658366,726056,746675,1137189,718977,791064,833712,1161169,778590,858188,922826,1224151,829989,918392,1001754,1323661,875664,963269,1065104,1378445
United States Virgin Islands,per million inhabitant,1,112,127,132,223,126,143,153,229,140,158,173,244,152,172,192,267,162,183,207,280
Uruguay,per million inhabitant,1127,5804,6908,7244,13615,6792,7968,8664,14006,7765,9063,10118,15034,8603,10046,11405,16657,9349,10778,12439,17551
Uzbekistan,per million inhabitant,30,2503,2772,2854,4403,2744,3030,3199,4499,2981,3296,3553,4748,3184,3535,3866,5143,3366,3713,4117,5361
Venezuela (Bolivarian Republic of),per million inhabitant,66,5482,5990,6144,9074,5937,6477,6797,9254,6384,6981,7466,9727,6769,7433,8058,10473,7112,7769,8533,10884
Viet Nam,per million inhabitant,839,24531,29596,31139,60364,29067,34461,37653,62158,33528,39485,44322,66871,37374,43990,50228,74318,40792,47348,54969,78418
Yemen,per million inhabitant,0,138,162,169,302,159,184,198,310,180,207,229,332,197,227,256,366,213,243,278,385
Zambia,per million inhabitant,1062,3391,4037,4233,7958,3969,4657,5064,8186,4538,5297,5913,8787,5028,5871,6666,9736,5464,6299,7270,10259
Zimbabwe,per million inhabitant,379,3182,3936,4166,8516,3857,4660,5135,8783,4521,5408,6128,9485,5094,6079,7007,10593,5603,6579,7713,11203
