Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-04-15,BR,Brazil,AMRO,82186,13599994,3808,358425
2021-04-16,BR,Brazil,AMRO,73513,13673507,3459,361884
2021-04-17,BR,Brazil,AMRO,73174,13746681,3560,365444
2021-04-18,BR,Brazil,AMRO,85774,13832455,3305,368749
2021-04-19,BR,Brazil,AMRO,67636,13900091,2929,371678
2021-04-20,BR,Brazil,AMRO,42980,13943071,1657,373335
2021-04-21,BR,Brazil,AMRO,30624,13973695,1347,374682
2021-04-22,BR,Brazil,AMRO,69381,14043076,3321,378003
2021-04-23,BR,Brazil,AMRO,79719,14122795,3472,381475
2021-04-24,BR,Brazil,AMRO,45178,14167973,2027,383502
2021-04-25,BR,Brazil,AMRO,69105,14237078,2914,386416
2021-04-26,BR,Brazil,AMRO,71137,14308215,3076,389492
2021-04-27,BR,Brazil,AMRO,32572,14340787,1305,390797
2021-04-28,BR,Brazil,AMRO,28636,14369423,1139,391936
2021-04-29,BR,Brazil,AMRO,72140,14441563,3086,395022
2021-04-30,BR,Brazil,AMRO,79726,14521289,3163,398185
2021-05-01,BR,Brazil,AMRO,69389,14590678,3001,401186
2021-05-02,BR,Brazil,AMRO,68333,14659011,2595,403781
2021-05-03,BR,Brazil,AMRO,66964,14725975,2656,406437
2021-05-04,BR,Brazil,AMRO,28935,14754910,1202,407639
2021-05-05,BR,Brazil,AMRO,24619,14779529,983,408622
2021-05-06,BR,Brazil,AMRO,77359,14856888,2966,411588
2021-05-07,BR,Brazil,AMRO,73295,14930183,2811,414399
2021-05-08,BR,Brazil,AMRO,73380,15003563,2550,416949
2021-05-09,BR,Brazil,AMRO,78886,15082449,2165,419114
2021-05-10,BR,Brazil,AMRO,63430,15145879,2202,421316
2021-05-11,BR,Brazil,AMRO,38911,15184790,1024,422340
2021-05-12,BR,Brazil,AMRO,25200,15209990,889,423229
2021-05-13,BR,Brazil,AMRO,72715,15282705,2311,425540
2021-05-14,BR,Brazil,AMRO,76692,15359397,2494,428034
2021-05-15,BR,Brazil,AMRO,74592,15433989,2383,430417
2021-05-16,BR,Brazil,AMRO,85536,15519525,2211,432628
2021-05-17,BR,Brazil,AMRO,67009,15586534,2087,434715
2021-05-18,BR,Brazil,AMRO,40941,15627475,1036,435751
2021-05-19,BR,Brazil,AMRO,29916,15657391,786,436537
2021-05-20,BR,Brazil,AMRO,75445,15732836,2513,439050
2021-05-21,BR,Brazil,AMRO,79219,15812055,2641,441691
2021-05-22,BR,Brazil,AMRO,82039,15894094,2403,444094
2021-05-23,BR,Brazil,AMRO,76855,15970949,2215,446309
2021-05-24,BR,Brazil,AMRO,76490,16047439,1899,448208
2021-05-25,BR,Brazil,AMRO,35819,16083258,860,449068
2021-05-26,BR,Brazil,AMRO,37498,16120756,790,449858
2021-05-27,BR,Brazil,AMRO,73453,16194209,2173,452031
2021-05-28,BR,Brazil,AMRO,80486,16274695,2398,454429
2021-05-29,BR,Brazil,AMRO,67467,16342162,2245,456674
2021-05-30,BR,Brazil,AMRO,49768,16391930,2371,459045
2021-05-31,BR,Brazil,AMRO,79670,16471600,2012,461057
2021-06-01,BR,Brazil,AMRO,43520,16515120,874,461931
2021-06-02,BR,Brazil,AMRO,30434,16545554,860,462791
2021-06-03,BR,Brazil,AMRO,78926,16624480,2408,465199
2021-06-04,BR,Brazil,AMRO,95601,16720081,2507,467706
2021-06-05,BR,Brazil,AMRO,83391,16803472,1682,469388
2021-06-06,BR,Brazil,AMRO,37936,16841408,1454,470842
2021-06-07,BR,Brazil,AMRO,66017,16907425,1689,472531
2021-06-08,BR,Brazil,AMRO,39637,16947062,873,473404
2021-06-09,BR,Brazil,AMRO,37156,16984218,1010,474414
2021-06-10,BR,Brazil,AMRO,52911,17037129,2378,476792
2021-06-11,BR,Brazil,AMRO,85748,17122877,2723,479515
2021-06-12,BR,Brazil,AMRO,88092,17210969,2504,482019
2021-06-13,BR,Brazil,AMRO,85149,17296118,2216,484235
2021-06-14,BR,Brazil,AMRO,78700,17374818,2037,486272
