Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Jordan,1082716,372716,375813,378501,395228,381703,390635,395806,428198,394130,406639,416032,463145,407558,421978,436336,496178,421537,436634,456478,528097
Kazakhstan,1093206,340974,343945,346522,362568,349594,358162,363123,394194,361515,373514,382524,427717,374396,388228,402001,459403,387804,402286,421321,490021
Kenya,269734,105963,106753,107439,111707,108256,110535,111855,120120,111427,114619,117016,129038,114854,118533,122197,137467,118421,122273,127337,145612
Korea,568237,116960,118131,119146,125468,120356,123732,125687,137929,125053,129781,133331,151137,130128,135578,141005,163621,135411,141117,148617,175685
Kosovo[1],163858,63327,63827,64262,66964,64779,66222,67058,72291,66787,68808,70326,77938,68957,71287,73606,83275,71215,73654,76861,88433
Kuwait,419872,190815,192119,193251,200294,194599,198360,200537,214176,199831,205098,209053,228890,205485,211557,217602,242799,211371,217728,226083,256238
Kyrgyzstan,187249,80407,80955,81430,84387,81996,83575,84489,90215,84193,86404,88065,96393,86567,89116,91654,102233,89038,91707,95215,107875
Lao People's Democratic Republic,90876,8856,9031,9182,10123,9362,9865,10156,11978,10061,10765,11294,13945,10817,11628,12436,15804,11603,12453,13570,17600
Latvia,273563,73741,74422,75013,78690,75717,77680,78817,85937,78448,81198,83263,93619,81400,84570,87726,100880,84473,87791,92153,107896
Lebanon,722243,280391,282648,284607,296797,286940,293449,297218,320823,295996,305112,311957,346291,305782,316291,326754,370363,315969,326971,341432,393624
Libya,391442,129744,130832,131776,137652,132901,136039,137856,149235,137267,141661,144961,161513,141984,147050,152095,173118,146895,152199,159171,184331
Liechtenstein,6124,1827,1841,1853,1929,1868,1908,1931,2078,1924,1980,2023,2236,1984,2050,2115,2385,2048,2116,2206,2530
Lithuania,517989,154983,156305,157452,164593,158819,162632,164840,178667,164124,169464,173473,193585,169856,176012,182141,207686,175823,182268,190739,221311
Luxembourg,100447,40051,40333,40577,42099,40868,41681,42151,45098,41999,43137,43991,48277,43220,44532,45838,51281,44492,45865,47670,54185
Madagascar,48157,21928,22072,22197,22974,22345,22761,23001,24507,22923,23505,23941,26132,23547,24218,24885,27668,24197,24899,25822,29151
Malawi,66629,23478,23679,23852,24935,24060,24637,24972,27067,24863,25673,26280,29328,25732,26665,27594,31465,26637,27613,28897,33530
Malaysia,2797305,606271,613674,620096,660075,627749,649097,661457,738874,657451,687348,709796,822399,689545,724009,758325,901348,722954,759035,806464,977634
Maldives,96438,32225,32517,32769,34342,33070,33910,34397,37443,34239,35415,36299,40729,35502,36858,38208,43836,36816,38236,40102,46837
Mali,20011,7767,7821,7867,8155,7922,8076,8165,8723,8136,8352,8514,9326,8368,8616,8864,9895,8609,8869,9211,10445
Malta,43541,17006,17137,17251,17958,17386,17764,17983,19354,17912,18441,18839,20832,18480,19090,19698,22230,19072,19711,20550,23581
Martinique,48414,12013,12143,12257,12964,12392,12770,12988,14357,12918,13446,13843,15834,13485,14094,14701,17230,14076,14714,15552,18579
Mauritania,41123,14961,15070,15165,15755,15278,15593,15775,16918,15716,16157,16489,18150,16190,16698,17205,19315,16683,17215,17915,20441
Mexico,4012071,1656553,1668018,1677966,1739887,1689818,1722884,1742028,1861935,1735822,1782128,1816898,1991303,1785531,1838911,1892062,2113583,1837277,1893162,1966622,2231739
